"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",5395.1,2.4,1,0,30067.8,1677,380,169.7,1,119.7,316.8,30.3,105.4,97.1,4.1,8,38.1,13.2,8.9,55.5,58,157.3,2253.2,208.1,1977.4,21.5,4.2,16.5,18.3,22.5,721.6,30.9,14.5,137.4,124,0,28734.1,1.3,506.4,499.8,77.6,0,330.2,5498.1,0,79904.2
"DOM_05T06",8.2,128.9,0.3,0.7,111.5,26.1,7.3,13.3,6155.3,549.9,17.2,21.5,234.1,29.3,27.9,19.7,118.8,52.7,16.6,30.3,2471.6,214.4,91.9,40.9,71.2,12.1,29.5,18.7,17.2,44.3,113,10.9,8.2,58.3,63.5,0,150.5,0.2,334.5,628.6,15.7,0,2.6,1472.4,0,13439.5
"DOM_07T08",2.5,0.4,1.1,0,5.5,2.6,0.6,2.1,1.2,30.5,3.1,120.4,49.7,5.9,0.7,3.1,4.8,3.3,1.1,5.8,6.2,173.3,9.2,2.2,1.4,0.3,0.3,0.3,0.2,2.2,3.4,0.6,0.2,0.7,0.7,0,23.5,0,1.8,7.3,-0.9,0,0.2,766.9,0,1244.2
"DOM_09",7.4,22.1,1.2,0.1,2.3,0,0.3,1,1,0.8,1.9,1.3,0.4,0.1,0,0,1.9,0,0,0.6,10.7,31.9,0,0.8,0,0,0,0,0,0,0.9,1.3,0.4,0,0,0,0,0,27.5,0,1,0,0,271.3,0,388.3
"DOM_10T12",6833.4,12.2,1.5,0.1,31868,1934.9,72.2,237.6,85.6,1543.8,172.4,130.5,106,132.7,56.3,74.5,173.7,108.3,54.5,195.7,337.6,516.5,2638.6,482.4,20283.2,120.5,72,98.8,112.5,85.2,1218.3,1070.6,425.6,1703.3,2226.3,0,87133.5,7.4,2350.6,374.2,75.7,0,1351.8,22251.7,0,188730.3
"DOM_13T15",140.3,19.8,1.4,0.2,419.8,22681.9,148.9,254.8,31.8,441.6,608.3,151.8,123.6,213.6,89,162.9,312.1,529.1,156.5,1505,283.1,666.1,1502.5,333.5,270.2,130.8,54.1,80.1,79,31.5,602.3,354.9,27.7,628.4,397.9,0,44749.4,0.2,319.8,907.6,208.5,0,2916.9,45766.6,0,128303.2
"DOM_16",95.8,13,3.2,0.1,327.6,301.6,6375.4,128.7,10.8,111.7,260.9,183,84.9,534.2,35.5,133.8,299,266.9,152.4,4482.5,117.9,4907.9,536,293.6,169.7,35.3,26.9,22.7,13.8,174,381.4,31.4,6.3,114.5,214.9,0,2972.5,0.1,191.2,1762,192.9,0,63.8,3189.6,0,29219.4
"DOM_17T18",67.8,9.2,5.6,0.1,1794.3,896.7,62.6,11915.4,40,1160,378.5,361.7,124.9,545.7,118.1,541.9,648.2,492.1,56.3,928.1,1288.9,1475.6,1499.5,958.4,481.9,3445.7,316.2,448.7,1074,130.9,7227.1,759.4,111.2,223.5,1204,0,5065.7,0.1,73.6,137.8,-26.5,0,105.4,6806.9,0,52955.2
"DOM_19",1833.7,222.5,64,1.9,951.5,813.6,159.6,152.3,5738.6,1298,146.9,2526.4,3346.3,392.1,25.8,83.7,213.1,71.6,209.6,325.8,4617.7,3181.2,11773.5,12813.8,539.7,109.3,287.2,318.2,399.7,287.2,2693.6,884.8,197.6,713.5,705.3,0,21935.6,0,18.4,56.7,29.1,0,108.2,15900,0,96147.5
"DOM_20T21",1269.8,96,18,0.5,969,3822.2,682.3,1159.4,491.1,19686,6802.9,1230.9,2005.6,1356.2,405.6,1120.9,725.5,736.2,328.9,922,2227.7,1393.2,2174.7,308,211.4,259.1,116.6,161.1,54.8,96.6,1252.7,161.6,39.1,2012.1,522,0,13407.2,0.8,9883.3,467.6,51.9,0,361.8,37079.1,0,116071.4
"DOM_22",255.8,56.2,10.9,0.4,2173,1679.1,254.6,575.2,95.6,1443.2,8005.5,366.9,652.1,843.4,419,1563.3,2539.5,3177.8,540.7,1378.8,1149.8,3642.4,1295.1,1001.8,379.6,95.8,70.6,151.8,119.7,82.9,1776.5,150.5,40,153.4,218.9,0,7112.7,0.1,239.2,993.8,105.8,0,36.1,15892.9,0,60740.4
"DOM_23",288.9,39.9,19.3,0.3,809.2,315,65.8,65.9,56,1288.9,293,9967.6,913.7,1016.6,149.5,654.3,560.7,805.6,177.1,570.3,1285.1,23014,1472.1,189.6,237.3,69.5,40.9,137.9,32.2,117.6,795.7,134.8,50.8,179.7,155.4,0,4512.2,0.1,186.5,1143.8,106.8,0,21.3,12571.1,0,64512.1
"DOM_24",112.3,85,5.6,0.9,271.2,168.2,58.4,252.7,201,363.6,341.5,663,14693.9,15748.7,446,4331.3,10029,3062.6,1267.4,2727.7,1221.7,10326.2,1058.8,548.6,73.2,31.8,56.4,45,39.6,70.7,353,114.9,45.6,144.8,144.3,0,1637.1,0.1,117.1,709.6,24.7,0,8.1,33414.2,0,105015.5
"DOM_25",299,198.1,16.4,1,1706.4,790,104.7,296.3,52.5,329.5,717.4,683.7,4738.6,21604,460.6,2473.5,21869.2,10007.1,1343.5,4794.9,2868.5,15751.7,1604.5,543.3,310.7,87.2,103.2,140,57.3,203.7,1444.9,264.7,31.2,146.6,212.3,0,5451.9,0.2,288.1,14792.9,1434.8,0,22.4,28594.7,0,146841.2
